C_Id,Nconfigs,Nbases,RMSError(eV/atom)
1,31,1922,0.005964
2,20,1280,0.008526
3,31,1891,0.006362
4,20,1260,0.010717
5,21,1323,0.012988
6,20,1200,0.010397
7,20,1180,0.011999
8,20,1160,0.010418
9,20,1140,0.008743
10,20,1280,0.005011
11,8,512,0.002722
12,43,2709,0.005126
13,43,2709,0.001990
14,12,24,0.003490
15,10,40,0.001017
16,10,80,0.009517
17,10,640,0.004040
18,7,448,0.002617
19,8,496,0.003001
20,2,128,0.000109
21,5,320,0.005336
22,2,122,0.008732
23,7,420,0.005974
24,28,1680,0.001777
25,7,413,0.003980
26,7,413,0.003652
27,7,406,0.006632
28,7,399,0.000181
29,32,256,0.002321
30,38,304,0.002006
31,310,2480,0.000422
32,40,2560,0.002187
33,107,6634,0.003386
34,11,682,0.003500
35,20,1280,0.002452
36,19,1216,0.007119
37,33,2112,0.007067
38,50,3200,0.010555
39,33,2112,0.003945
40,14,910,0.001714
41,14,910,0.005794
42,11,693,0.002801
43,25,1575,0.002471
44,6,324,0.002646
45,77,4928,0.001016
46,43,2709,0.002129
47,11,693,0.001429
48,9,549,0.004088
